"filename", "language", "TypeScript JSX", "JSON with Comments", "JSON", "CSS", "TypeScript", "XML", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Home.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Liked.tsx", "TypeScript JSX", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Login.tsx", "TypeScript JSX", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 207
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Opt.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\OrderHistory.tsx", "TypeScript JSX", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 136
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Pagination.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Profile.tsx", "TypeScript JSX", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 193
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Reg.tsx", "TypeScript JSX", 235, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 247
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Reset.tsx", "TypeScript JSX", 320, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36, 363
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\ResetURL.tsx", "TypeScript JSX", 104, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 117
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Shipment.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\basket.tsx", "TypeScript JSX", 291, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 316
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\refreshTokenUtils.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 1, 5, 59
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\tokenUtils.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 7, 64
"c:\Users\Home\mycoffee_front\coffee\src\images\carbon-chat.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Home\mycoffee_front\coffee\src\images\chat-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 5, 12
"c:\Users\Home\mycoffee_front\coffee\src\images\rightarrow_116394.svg", "XML", 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 1, 42
"c:\Users\Home\mycoffee_front\coffee\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Home\mycoffee_front\coffee\src\index.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 29
"c:\Users\Home\mycoffee_front\coffee\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
